rank,dma,households,us_percent
160,"Alexandria, LA",1070,0.021
160,Monroe-El Dorado,1070,0.021
163,Harrisonburg,1030,0.020
164,Bowling Green,1020,0.020
164,Traverse City-Cadillac,1020,0.020
166,Duluth-Superior,1000,0.019
167,Terre Haute,990,0.019
168,Columbus-Tupelo-W Pnt-Hstn,980,0.019
168,Abilene-Sweetwater,980,0.019
170,Watertown,960,0.018
171,Dothan,910,0.018
172,Sherman-Ada,900,0.017
173,Minot-Bsmrck-Dcknsn(Wlstn),890,0.017
173,Lake Charles,890,0.017
175,Elmira (Corning),840,0.016
176,Fairbanks,830,0.016
177,Bangor,820,0.016
178,Mankato,730,0.014
179,Rapid City,700,0.013
180,"Bend, OR",690,0.013
181,Butte-Bozeman,670,0.013
182,Hattiesburg-Laurel,650,0.013
183,Bluefield-Beckley-Oak Hill,640,0.012
184,Twin Falls,620,0.012
184,Billings,620,0.012
186,Marquette,600,0.012
187,Cheyenne-Scottsbluff,570,0.011
187,Laredo,570,0.011
187,San Angelo,570,0.011
190,Grand Junction-Montrose,560,0.011
191,Quincy-Hannibal-Keokuk,550,0.011
192,"Jackson, TN",490,0.009
193,Clarksburg-Weston,480,0.009
194,Great Falls,460,0.009
195,Greenwood-Greenville,420,0.008
196,Jonesboro,410,0.008
196,Victoria,410,0.008
196,Lima,410,0.008
196,Wheeling-Steubenville,410,0.008
200,Parkersburg,400,0.008
201,Ottumwa-Kirksville,370,0.007
202,Meridian,330,0.006
203,St. Joseph,320,0.006
204,Casper-Riverton,310,0.006
205,Zanesville,160,0.003
206,Helena,150,0.003
207,North Platte,80,0.002
207,Alpena,80,0.002
207,Presque Isle,80,0.002
